Location,Exterior_Color,Interior_Color,Drive_Train,MPG,Fuel_Type,Transmission,Engine,Mileage,Status,Year,Brand,Model
columbus-oh,Black,Red,All-wheel Drive,16-24,Gasoline,A,4.4L 443.0hp,"157,327 mi.",Used,2013,BMW,650 4dr Sdn 650i xDrive AWD Gran Coupe
columbus-oh,Silver,Light Gray,Front-wheel Drive,21-31,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,"214,005 mi.",Used,2013,Toyota,Avalon XLE
columbus-oh,Blue,Blue,–,,Gasoline,Automatic,1.9L I4,"18,593 mi.",Used,1971,Toyota,Corona
columbus-oh,White,Beige,Front-wheel Drive,21-31,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,"238,720 mi.",Used,2014,Toyota,Avalon XLE Premium
columbus-oh,White,Gray,Rear-wheel Drive,,Diesel,5-Speed Automatic,2.7L I5 20V DDI DOHC Turbo Diesel,"163,498 mi.",Used,2006,Dodge,Sprinter 158 WB Super High Roof Cargo
columbus-oh,Red,Black,Rear-wheel Drive,17-23,Gasoline,4-Speed Automatic,3.5L V6 24V MPFI SOHC,"3,164 mi.",Used,1999,Plymouth,Prowler
columbus-oh,Taupe Gray Metallic,Ebony,Four-wheel Drive,,E85 Flex Fuel,6-Speed Automatic,5.3L V8 16V MPFI OHV Flexible Fuel,"169,115 mi.",Used,2010,Chevrolet,Avalanche 1500 LT
columbus-oh,Crystal Black Silica,Gray,All-wheel Drive,26-32,Gasoline,Automatic CVT,2.5L H4 16V GDI DOHC,"83,737 mi.",Used,2023,Subaru,Outback Premium
columbus-oh,Java,Hazelnut,All-wheel Drive,17-25,Gasoline,6-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,"123,020 mi.",Used,2015,Lincoln,MKS EcoBoost
columbus-oh,Crimson Black,Charcoal,Front-wheel Drive,19-26,Gasoline,Automatic CVT,3.5L V6 24V MPFI DOHC,"86,691 mi.",Used,2012,Nissan,Maxima SV
columbus-oh,Firemist Metallic,Shell,Rear-wheel Drive,16-23,Gasoline,5-Speed Automatic,5.0L V8 24V MPFI SOHC,"51,322 mi.",Used,1999,Mercedes-Benz,SL-Class SL500 Roadster
columbus-oh,White,Black,Rear-wheel Drive,16-23,Gasoline,7-Speed Automatic with Auto-Shift,3.9L V8 32V GDI DOHC Twin Turbo,"11,954 mi.",Used,2015,Ferrari,California T
columbus-oh,Blu Tour De France Metallic,Nero,Rear-wheel Drive,,Gasoline,7-Speed Automatic,3.9L V8 32V GDI DOHC Twin Turbo,"2,180 mi.",Ferrari Certified,2022,Ferrari,F8 Spider Base
columbus-oh,Silver,Gray,Rear-wheel Drive,,Gasoline,Manual,2.8L V6,"3,371 mi.",Used,1982,Delorean,DMC-12
columbus-oh,Silver,Black / Red,All-wheel Drive,18-28,Gasoline,7-Speed Automatic with Auto-Shift,3.0L V6 24V GDI DOHC Supercharged,"90,919 mi.",Used,2016,Audi,S4 3.0T Premium Plus
columbus-oh,White,Red,Rear-wheel Drive,NULL,Gasoline,6-Speed A/T,355.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,"31,000 mi.",Used,2009,Pontiac,G8 GT
columbus-oh,Titanium Rush Metallic,–,Four-wheel Drive,15-19,Gasoline,10-Speed Automatic,5.3L V8 16V GDI OHV,"31,901 mi.",Used,2023,GMC,Yukon XL AT4
columbus-oh,Sandstone Metallic,Sandstone,All-wheel Drive,20-25,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,"4,991 mi.",Used,2023,Lincoln,Nautilus Reserve
columbus-oh,Fire Orange,Black,Front-wheel Drive,29-40,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,"57,638 mi.",Used,2021,Kia,Forte GT-Line
columbus-oh,Black,Black,All-wheel Drive,15-0,Gasoline,A,4.2L,"108,832 mi.",Used,2007,Audi,S4 4dr Avant Wgn Auto
columbus-oh,LISTED,–,Four-wheel Drive,,Gasoline,7-Speed Automatic,5.6L V8 32V GDI DOHC,"36,435 mi.",Used,2018,Nissan,Titan XD PRO-4X
columbus-oh,Black,Blond,All-wheel Drive,23-32,Gasoline,Automatic with Geartronic,2.0L I4 Turbocharged,"6,789 mi.",Volvo Certified,2023,Volvo,S90 Ultimate
columbus-oh,White,Black,–,29,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,"54,187 mi.",Used,2018,Kia,Stinger Premium
columbus-oh,Bright Silver,Black,Front-wheel Drive,25-34,Gasoline,6-Speed Automatic,2.0L I4 16V MPFI DOHC,"146,527 mi.",Used,2011,Kia,Forte Koup EX
columbus-oh,Pewter Metallic,Graphite,Rear-wheel Drive,,Gasoline,4-Speed Automatic,4.3L V6 12V MPFI OHV,"105,639 mi.",Used,2003,GMC,Sonoma SLS
columbus-oh,Machine Gray Metallic,Black,Front-wheel Drive,23-31,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC Turbo,"23,797 mi.",Used,2021,Mazda,Mazda6 Grand Touring
columbus-oh,Starlight Silver,Gray,Front-wheel Drive,40-44,Hybrid,6-Speed Automatic,2.0L I4 16V GDI DOHC Hybrid,"105,344 mi.",Used,2016,Hyundai,Sonata Hybrid SE
columbus-oh,Blue Velvet Metallic,Ebony,Front-wheel Drive,17-24,Gasoline,6-Speed Automatic,3.6L V6 24V GDI DOHC,"155,753 mi.",Used,2015,Chevrolet,Traverse LTZ
columbus-oh,Midnight Black Metallic,Black,Front-wheel Drive,22-31,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,"20,985 mi.",Used,2021,Toyota,Avalon Touring
columbus-oh,Gray,Gray,All-wheel Drive,0-0,–,eCVT,3.3L V6 VVT-i,"142,880 mi.",Used,2008,Lexus,RX 400h Base
columbus-oh,Tango Red Metallic,Black,All-wheel Drive,21-30,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,"66,041 mi.",Used,2018,Audi,S4 3.0T Premium Plus
columbus-oh,Nero Noctis,Rosso Andra,All-wheel Drive,14-21,Gasoline,7-Speed Automatic with Auto-Shift,5.2L V10 40V GDI DOHC,"7,032 mi.",Used,2017,Lamborghini,Huracan LP610-4
columbus-oh,Daytona Gray Pearl Effect,Black,All-wheel Drive,23-27,Gasoline,6-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,"28,412 mi.",Used,2017,Audi,TTS 2.0T quattro
